epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,347.304,0.44548,0.755,0.85775,0.89312,0.97266,0.96929,0.82642,0.88012,0.74388,1.16558,0.00030606,0.00030606,0.00030606
69,352.742,0.41681,0.65562,0.85527,0.88108,0.97346,0.95738,0.81992,0.85425,0.71144,1.14693,0.000297061,0.000297061,0.000297061
70,357.819,0.43021,0.67349,0.87743,0.87672,0.97314,0.93622,0.79062,0.85066,0.66398,1.14436,0.000288062,0.000288062,0.000288062
71,362.706,0.50484,0.77153,0.91122,0.91307,0.95548,0.9417,0.80473,0.83267,0.62926,1.1376,0.000279063,0.000279063,0.000279063
72,367.591,0.42348,0.64407,0.86216,0.85281,1,0.93693,0.8026,0.83857,0.67813,1.15223,0.000270064,0.000270064,0.000270064
73,372.528,0.40381,0.64211,0.85131,0.85832,0.99372,0.93693,0.81289,0.84014,0.71166,1.15986,0.000261065,0.000261065,0.000261065
74,377.412,0.49267,0.77374,0.89087,0.85425,1,0.93693,0.80473,0.85114,0.70277,1.15672,0.000252066,0.000252066,0.000252066
75,382.185,0.45244,0.68867,0.87585,0.89316,0.95331,0.93693,0.80291,0.86268,0.66255,1.15667,0.000243067,0.000243067,0.000243067
76,386.958,0.42791,0.66372,0.87828,0.89458,0.95352,0.93622,0.78919,0.88055,0.64775,1.1546,0.000234068,0.000234068,0.000234068
77,391.876,0.39473,0.59351,0.84359,0.89239,0.95339,0.94098,0.78939,0.88029,0.63856,1.14966,0.000225068,0.000225068,0.000225068
78,396.722,0.44711,0.66618,0.86721,0.85161,1,0.94098,0.80283,0.85847,0.65253,1.14191,0.000216069,0.000216069,0.000216069
79,401.565,0.39898,0.62433,0.86927,0.87196,1,0.93935,0.80184,0.85168,0.66015,1.13377,0.00020707,0.00020707,0.00020707
80,406.586,0.37398,0.64061,0.85614,0.87961,1,0.93622,0.80753,0.87032,0.65869,1.15423,0.000198071,0.000198071,0.000198071
81,411.456,0.3886,0.62177,0.85028,0.8792,0.99617,0.93622,0.79942,0.87663,0.64256,1.16408,0.000189072,0.000189072,0.000189072
82,416.369,0.52034,0.75461,0.99944,0.88131,0.99437,0.94333,0.79622,0.87525,0.63204,1.16308,0.000180073,0.000180073,0.000180073
83,421.445,0.46377,0.66481,0.87275,0.88754,1,0.95738,0.81138,0.85754,0.62817,1.15853,0.000171074,0.000171074,0.000171074
84,426.37,0.42604,0.6132,0.84781,0.87413,0.97997,0.94281,0.80041,0.86428,0.67724,1.1593,0.000162075,0.000162075,0.000162075
85,431.225,0.3375,0.79487,0.78226,0.86901,0.97943,0.93451,0.78824,0.87178,0.71485,1.16128,0.000153076,0.000153076,0.000153076
86,435.955,0.39569,0.66464,0.85187,0.86825,0.98172,0.94109,0.80399,0.87522,0.73985,1.17536,0.000144077,0.000144077,0.000144077
87,440.806,0.43231,0.66366,0.86053,0.87837,0.99314,0.9354,0.80262,0.87269,0.71432,1.18298,0.000135077,0.000135077,0.000135077
88,445.654,0.38178,0.83848,0.80005,0.88235,1,0.9354,0.78784,0.87613,0.67826,1.18394,0.000126078,0.000126078,0.000126078
89,450.434,0.40158,0.62227,0.85409,0.88253,0.99732,0.94017,0.79409,0.87138,0.65271,1.18148,0.000117079,0.000117079,0.000117079
90,455.163,0.38291,0.77237,0.87426,0.89146,0.98263,0.94098,0.78811,0.87443,0.62947,1.17632,0.00010808,0.00010808,0.00010808
91,459.95,0.48927,0.94389,0.97889,0.8762,0.99327,0.94098,0.78823,0.87773,0.63687,1.17443,9.9081e-05,9.9081e-05,9.9081e-05
92,464.584,0.30367,0.8452,0.74598,0.87278,0.99322,0.94667,0.79275,0.88846,0.63971,1.17395,9.00819e-05,9.00819e-05,9.00819e-05
93,469.355,0.40176,0.77475,0.88016,0.88097,0.99112,0.94667,0.79385,0.88963,0.6478,1.16989,8.10828e-05,8.10828e-05,8.10828e-05
94,474.173,0.32888,0.62083,0.83291,0.88675,0.9962,0.94667,0.80201,0.88412,0.64117,1.16423,7.20837e-05,7.20837e-05,7.20837e-05
95,478.841,0.31,0.60674,0.81546,0.89413,0.99726,0.94667,0.8038,0.88062,0.64881,1.162,6.30846e-05,6.30846e-05,6.30846e-05
96,483.467,0.32801,0.62732,0.80917,0.89676,0.99288,0.94786,0.81014,0.87611,0.64243,1.16767,5.40855e-05,5.40855e-05,5.40855e-05
97,488.317,0.30525,0.73455,0.80596,0.89466,0.99508,0.95738,0.81966,0.87384,0.64461,1.17108,4.50864e-05,4.50864e-05,4.50864e-05
98,493.086,0.3181,0.57923,0.79459,0.89269,1,0.96133,0.81559,0.87344,0.6494,1.1785,3.60873e-05,3.60873e-05,3.60873e-05
99,497.695,0.31187,0.59327,0.80524,0.89008,1,0.96133,0.81114,0.87264,0.65095,1.17947,2.70882e-05,2.70882e-05,2.70882e-05
100,502.35,0.30513,0.58841,0.82332,0.88691,1,0.96133,0.81029,0.86833,0.65447,1.1768,1.80891e-05,1.80891e-05,1.80891e-05
